target	textid	text	pair	condition
non-entailment	1	The president advised the doctor .	The doctor advised the president .	lexical
non-entailment	2	The student saw the managers .	The managers saw the student .	lexical
non-entailment	3	The presidents encouraged the banker .	The banker encouraged the presidents .	lexical
non-entailment	4	The senators supported the actor .	The actor supported the senators .	lexical
non-entailment	5	The actors avoided the bankers .	The bankers avoided the actors .	lexical
non-entailment	6	The senators mentioned the artist .	The artist mentioned the senators .	lexical
non-entailment	7	The managers saw the secretaries .	The secretaries saw the managers .	lexical
non-entailment	8	The professor recognized the secretaries .	The secretaries recognized the professor .	lexical
non-entailment	9	The author contacted the scientist .	The scientist contacted the author .	lexical
non-entailment	10	The athletes recommended the senator .	The senator recommended the athletes .	lexical
non-entailment	11	The president avoided the athlete .	The athlete avoided the president .	lexical
non-entailment	12	The judges supported the banker .	The banker supported the judges .	lexical
non-entailment	13	The senators contacted the scientists .	The scientists contacted the senators .	lexical
non-entailment	14	The banker thanked the tourist .	The tourist thanked the banker .	lexical
non-entailment	15	The tourists admired the secretary .	The secretary admired the tourists .	lexical
non-entailment	16	The lawyers helped the judge .	The judge helped the lawyers .	lexical
non-entailment	17	The actors introduced the lawyer .	The lawyer introduced the actors .	lexical
non-entailment	18	The professors advised the judge .	The judge advised the professors .	lexical
non-entailment	19	The artists contacted the professor .	The professor contacted the artists .	lexical
non-entailment	20	The student recognized the senator .	The senator recognized the student .	lexical
non-entailment	21	The secretary introduced the judge .	The judge introduced the secretary .	lexical
non-entailment	22	The senators introduced the president .	The president introduced the senators .	lexical
non-entailment	23	The lawyer introduced the professors .	The professors introduced the lawyer .	lexical
non-entailment	24	The tourist believed the students .	The students believed the tourist .	lexical
non-entailment	25	The athlete recommended the judge .	The judge recommended the athlete .	lexical
non-entailment	26	The secretary recommended the lawyer .	The lawyer recommended the secretary .	lexical
non-entailment	27	The authors recommended the professors .	The professors recommended the authors .	lexical
non-entailment	28	The students thanked the authors .	The authors thanked the students .	lexical
non-entailment	29	The tourist contacted the judges .	The judges contacted the tourist .	lexical
non-entailment	30	The authors introduced the students .	The students introduced the authors .	lexical
non-entailment	31	The author contacted the professors .	The professors contacted the author .	lexical
non-entailment	32	The judges recommended the president .	The president recommended the judges .	lexical
non-entailment	33	The students believed the judges .	The judges believed the students .	lexical
non-entailment	34	The athletes supported the president .	The president supported the athletes .	lexical
non-entailment	35	The managers introduced the bankers .	The bankers introduced the managers .	lexical
non-entailment	36	The authors encouraged the judges .	The judges encouraged the authors .	lexical
non-entailment	37	The actor stopped the senators .	The senators stopped the actor .	lexical
non-entailment	38	The artist avoided the senators .	The senators avoided the artist .	lexical
non-entailment	39	The actors recognized the student .	The student recognized the actors .	lexical
non-entailment	40	The senators stopped the presidents .	The presidents stopped the senators .	lexical
non-entailment	41	The scientists encouraged the lawyers .	The lawyers encouraged the scientists .	lexical
non-entailment	42	The professors helped the presidents .	The presidents helped the professors .	lexical
non-entailment	43	The authors stopped the senator .	The senator stopped the authors .	lexical
non-entailment	44	The professor advised the manager .	The manager advised the professor .	lexical
non-entailment	45	The manager introduced the judge .	The judge introduced the manager .	lexical
non-entailment	46	The presidents contacted the scientist .	The scientist contacted the presidents .	lexical
non-entailment	47	The artists encouraged the scientists .	The scientists encouraged the artists .	lexical
non-entailment	48	The lawyer advised the author .	The author advised the lawyer .	lexical
non-entailment	49	The student contacted the senator .	The senator contacted the student .	lexical
non-entailment	50	The students recognized the professor .	The professor recognized the students .	lexical
non-entailment	51	The actor believed the scientist .	The scientist believed the actor .	lexical
non-entailment	52	The artist contacted the tourist .	The tourist contacted the artist .	lexical
non-entailment	53	The president helped the actors .	The actors helped the president .	lexical
non-entailment	54	The professors introduced the secretary .	The secretary introduced the professors .	lexical
non-entailment	55	The doctors advised the senator .	The senator advised the doctors .	lexical
non-entailment	56	The doctors believed the student .	The student believed the doctors .	lexical
non-entailment	57	The judges mentioned the student .	The student mentioned the judges .	lexical
non-entailment	58	The judge called the doctors .	The doctors called the judge .	lexical
non-entailment	59	The managers stopped the president .	The president stopped the managers .	lexical
non-entailment	60	The artist introduced the tourists .	The tourists introduced the artist .	lexical
non-entailment	61	The manager contacted the secretaries .	The secretaries contacted the manager .	lexical
non-entailment	62	The judges recommended the secretary .	The secretary recommended the judges .	lexical
non-entailment	63	The actors called the professor .	The professor called the actors .	lexical
non-entailment	64	The scientists avoided the actors .	The actors avoided the scientists .	lexical
non-entailment	65	The banker encouraged the artists .	The artists encouraged the banker .	lexical
non-entailment	66	The artists believed the bankers .	The bankers believed the artists .	lexical
non-entailment	67	The professor recommended the manager .	The manager recommended the professor .	lexical
non-entailment	68	The doctor thanked the secretary .	The secretary thanked the doctor .	lexical
non-entailment	69	The banker admired the actors .	The actors admired the banker .	lexical
non-entailment	70	The banker thanked the lawyer .	The lawyer thanked the banker .	lexical
non-entailment	71	The managers called the athletes .	The athletes called the managers .	lexical
non-entailment	72	The tourists introduced the authors .	The authors introduced the tourists .	lexical
non-entailment	73	The secretary mentioned the authors .	The authors mentioned the secretary .	lexical
non-entailment	74	The banker admired the tourist .	The tourist admired the banker .	lexical
non-entailment	75	The lawyers thanked the managers .	The managers thanked the lawyers .	lexical
non-entailment	76	The authors recognized the judges .	The judges recognized the authors .	lexical
non-entailment	77	The senators saw the author .	The author saw the senators .	lexical
non-entailment	78	The students stopped the professors .	The professors stopped the students .	lexical
non-entailment	79	The athletes thanked the student .	The student thanked the athletes .	lexical
non-entailment	80	The lawyers recommended the professor .	The professor recommended the lawyers .	lexical
non-entailment	81	The student believed the presidents .	The presidents believed the student .	lexical
non-entailment	82	The tourist believed the scientists .	The scientists believed the tourist .	lexical
non-entailment	83	The doctors supported the author .	The author supported the doctors .	lexical
non-entailment	84	The doctor encouraged the author .	The author encouraged the doctor .	lexical
non-entailment	85	The managers encouraged the secretaries .	The secretaries encouraged the managers .	lexical
non-entailment	86	The lawyers advised the tourist .	The tourist advised the lawyers .	lexical
non-entailment	87	The presidents stopped the student .	The student stopped the presidents .	lexical
non-entailment	88	The judges avoided the secretary .	The secretary avoided the judges .	lexical
non-entailment	89	The author recognized the artist .	The artist recognized the author .	lexical
non-entailment	90	The artist mentioned the manager .	The manager mentioned the artist .	lexical
non-entailment	91	The students thanked the managers .	The managers thanked the students .	lexical
non-entailment	92	The secretary admired the presidents .	The presidents admired the secretary .	lexical
non-entailment	93	The artist introduced the judges .	The judges introduced the artist .	lexical
non-entailment	94	The secretaries recommended the judges .	The judges recommended the secretaries .	lexical
non-entailment	95	The manager avoided the bankers .	The bankers avoided the manager .	lexical
non-entailment	96	The secretaries helped the judge .	The judge helped the secretaries .	lexical
non-entailment	97	The author introduced the secretary .	The secretary introduced the author .	lexical
non-entailment	98	The judge contacted the doctors .	The doctors contacted the judge .	lexical
non-entailment	99	The judge believed the actors .	The actors believed the judge .	lexical
non-entailment	100	The tourists recognized the senators .	The senators recognized the tourists .	lexical
non-entailment	101	The students supported the manager .	The manager supported the students .	lexical
non-entailment	102	The lawyers saw the doctor .	The doctor saw the lawyers .	lexical
non-entailment	103	The secretary thanked the artist .	The artist thanked the secretary .	lexical
non-entailment	104	The lawyers contacted the secretary .	The secretary contacted the lawyers .	lexical
non-entailment	105	The author stopped the doctors .	The doctors stopped the author .	lexical
non-entailment	106	The authors stopped the managers .	The managers stopped the authors .	lexical
non-entailment	107	The lawyers recognized the scientists .	The scientists recognized the lawyers .	lexical
non-entailment	108	The presidents recognized the banker .	The banker recognized the presidents .	lexical
non-entailment	109	The tourists saw the manager .	The manager saw the tourists .	lexical
non-entailment	110	The student helped the professor .	The professor helped the student .	lexical
non-entailment	111	The doctors supported the senator .	The senator supported the doctors .	lexical
non-entailment	112	The doctors mentioned the professors .	The professors mentioned the doctors .	lexical
non-entailment	113	The scientists recognized the lawyers .	The lawyers recognized the scientists .	lexical
