	model	heuristic	target	micro-precision	micro-recall	micro-f1	macro-precision	macro-recall	macro-f1	accuracy
0	../midterm/ReplicateMcCoy/models/bert_00	constituent	entailment	1.0	0.0068	0.013508144616607072	1.0	0.0068	0.013508144616607072	0.0068
1	../midterm/ReplicateMcCoy/models/bert_00	constituent	non-entailment	1.0	0.9274	0.9623326761440282	1.0	0.9274	0.9623326761440282	0.9274
2	../midterm/ReplicateMcCoy/models/bert_00	lexical	entailment	1.0	0.0386	0.07433082996341228	1.0	0.0386	0.07433082996341228	0.0386
3	../midterm/ReplicateMcCoy/models/bert_00	lexical	non-entailment	1.0	0.6148	0.7614565271241021	1.0	0.6148	0.7614565271241021	0.6148
4	../midterm/ReplicateMcCoy/models/bert_00	subsequence	entailment	1.0	0.0054	0.010741993236522777	1.0	0.0054	0.010741993236522777	0.0054
5	../midterm/ReplicateMcCoy/models/bert_00	subsequence	non-entailment	1.0	0.951	0.9748846745258841	1.0	0.951	0.9748846745258841	0.951
6	../midterm/ReplicateMcCoy/models/bert_01	constituent	entailment	1.0	0.0024	0.004788507581803671	1.0	0.0024	0.004788507581803671	0.0024
7	../midterm/ReplicateMcCoy/models/bert_01	constituent	non-entailment	1.0	0.8838	0.9383161694447394	1.0	0.8838	0.9383161694447394	0.8838
8	../midterm/ReplicateMcCoy/models/bert_01	lexical	entailment	1.0	0.0572	0.1082103670071888	1.0	0.0572	0.1082103670071888	0.0572
9	../midterm/ReplicateMcCoy/models/bert_01	lexical	non-entailment	1.0	0.7026	0.8253259720427581	1.0	0.7026	0.8253259720427581	0.7026
10	../midterm/ReplicateMcCoy/models/bert_01	subsequence	entailment	1.0	0.0104	0.02058590657165479	1.0	0.0104	0.02058590657165479	0.0104
11	../midterm/ReplicateMcCoy/models/bert_01	subsequence	non-entailment	1.0	0.9646	0.9819810648478061	1.0	0.9646	0.9819810648478061	0.9646
12	../midterm/ReplicateMcCoy/models/bert_02	constituent	entailment	1.0	0.0108	0.021369212504946576	1.0	0.0108	0.021369212504946576	0.0108
13	../midterm/ReplicateMcCoy/models/bert_02	constituent	non-entailment	1.0	0.8952	0.9447024060785142	1.0	0.8952	0.9447024060785142	0.8952
14	../midterm/ReplicateMcCoy/models/bert_02	lexical	entailment	1.0	0.0464	0.08868501529051988	1.0	0.0464	0.08868501529051988	0.0464
15	../midterm/ReplicateMcCoy/models/bert_02	lexical	non-entailment	1.0	0.6416	0.7816764132553606	1.0	0.6416	0.7816764132553606	0.6416
16	../midterm/ReplicateMcCoy/models/bert_02	subsequence	entailment	1.0	0.0128	0.02527646129541864	1.0	0.0128	0.02527646129541864	0.0128
17	../midterm/ReplicateMcCoy/models/bert_02	subsequence	non-entailment	1.0	0.9268	0.9620095495121445	1.0	0.9268	0.9620095495121445	0.9268
18	../midterm/ReplicateMcCoy/models/bert_03	constituent	entailment	1.0	0.0044	0.008761449621664676	1.0	0.0044	0.008761449621664676	0.0044
19	../midterm/ReplicateMcCoy/models/bert_03	constituent	non-entailment	1.0	0.871	0.9310529128808124	1.0	0.871	0.9310529128808124	0.871
20	../midterm/ReplicateMcCoy/models/bert_03	lexical	entailment	1.0	0.0294	0.057120652807460655	1.0	0.0294	0.057120652807460655	0.0294
21	../midterm/ReplicateMcCoy/models/bert_03	lexical	non-entailment	1.0	0.8176	0.8996478873239436	1.0	0.8176	0.8996478873239436	0.8176
22	../midterm/ReplicateMcCoy/models/bert_03	subsequence	entailment	1.0	0.0022	0.004390341249251646	1.0	0.0022	0.004390341249251646	0.0022
23	../midterm/ReplicateMcCoy/models/bert_03	subsequence	non-entailment	1.0	0.9686	0.984049578380575	1.0	0.9686	0.984049578380575	0.9686
24	../midterm/ReplicateMcCoy/models/bert_04	constituent	entailment	1.0	0.011	0.021760633036597428	1.0	0.011	0.021760633036597428	0.011
25	../midterm/ReplicateMcCoy/models/bert_04	constituent	non-entailment	1.0	0.928	0.9626556016597511	1.0	0.928	0.9626556016597511	0.928
26	../midterm/ReplicateMcCoy/models/bert_04	lexical	entailment	1.0	0.041	0.0787704130643612	1.0	0.041	0.0787704130643612	0.041
27	../midterm/ReplicateMcCoy/models/bert_04	lexical	non-entailment	1.0	0.7826	0.8780433075283294	1.0	0.7826	0.8780433075283294	0.7826
28	../midterm/ReplicateMcCoy/models/bert_04	subsequence	entailment	1.0	0.0028	0.005584363781412046	1.0	0.0028	0.005584363781412046	0.0028
29	../midterm/ReplicateMcCoy/models/bert_04	subsequence	non-entailment	1.0	0.952	0.9754098360655737	1.0	0.952	0.9754098360655737	0.952
30	../midterm/ReplicateMcCoy/models/bert_05	constituent	entailment	1.0	0.0038	0.007571229328551504	1.0	0.0038	0.007571229328551504	0.0038
31	../midterm/ReplicateMcCoy/models/bert_05	constituent	non-entailment	1.0	0.9624	0.9808397880146759	1.0	0.9624	0.9808397880146759	0.9624
32	../midterm/ReplicateMcCoy/models/bert_05	lexical	entailment	1.0	0.0274	0.05333852443060152	1.0	0.0274	0.05333852443060152	0.0274
33	../midterm/ReplicateMcCoy/models/bert_05	lexical	non-entailment	1.0	0.6478	0.7862604685034592	1.0	0.6478	0.7862604685034592	0.6478
34	../midterm/ReplicateMcCoy/models/bert_05	subsequence	entailment	1.0	0.0042	0.008364867556263693	1.0	0.0042	0.008364867556263693	0.0042
35	../midterm/ReplicateMcCoy/models/bert_05	subsequence	non-entailment	1.0	0.9446	0.9715108505605266	1.0	0.9446	0.9715108505605266	0.9446
36	../midterm/ReplicateMcCoy/models/bert_06	constituent	entailment	1.0	0.0114	0.02254300968953925	1.0	0.0114	0.02254300968953925	0.0114
37	../midterm/ReplicateMcCoy/models/bert_06	constituent	non-entailment	1.0	0.9196	0.9581162742237966	1.0	0.9196	0.9581162742237966	0.9196
38	../midterm/ReplicateMcCoy/models/bert_06	lexical	entailment	1.0	0.0296	0.057498057498057496	1.0	0.0296	0.057498057498057496	0.0296
39	../midterm/ReplicateMcCoy/models/bert_06	lexical	non-entailment	1.0	0.506	0.6719787516600265	1.0	0.506	0.6719787516600265	0.506
40	../midterm/ReplicateMcCoy/models/bert_06	subsequence	entailment	1.0	0.0028	0.005584363781412046	1.0	0.0028	0.005584363781412046	0.0028
41	../midterm/ReplicateMcCoy/models/bert_06	subsequence	non-entailment	1.0	0.9194	0.9580077107429406	1.0	0.9194	0.9580077107429406	0.9194
42	../midterm/ReplicateMcCoy/models/bert_07	constituent	entailment	1.0	0.0074	0.014691284494738933	1.0	0.0074	0.014691284494738933	0.0074
43	../midterm/ReplicateMcCoy/models/bert_07	constituent	non-entailment	1.0	0.9494	0.9740432953729352	1.0	0.9494	0.9740432953729352	0.9494
44	../midterm/ReplicateMcCoy/models/bert_07	lexical	entailment	1.0	0.0394	0.0758129690205888	1.0	0.0394	0.0758129690205888	0.0394
45	../midterm/ReplicateMcCoy/models/bert_07	lexical	non-entailment	1.0	0.6546	0.7912486401547202	1.0	0.6546	0.7912486401547202	0.6546
46	../midterm/ReplicateMcCoy/models/bert_07	subsequence	entailment	1.0	0.0024	0.004788507581803671	1.0	0.0024	0.004788507581803671	0.0024
47	../midterm/ReplicateMcCoy/models/bert_07	subsequence	non-entailment	1.0	0.9164	0.9563765393446044	1.0	0.9164	0.9563765393446044	0.9164
48	../midterm/ReplicateMcCoy/models/bert_08	constituent	entailment	1.0	0.0048	0.009554140127388535	1.0	0.0048	0.009554140127388535	0.0048
49	../midterm/ReplicateMcCoy/models/bert_08	constituent	non-entailment	1.0	0.898	0.946259220231823	1.0	0.898	0.946259220231823	0.898
50	../midterm/ReplicateMcCoy/models/bert_08	lexical	entailment	1.0	0.0482	0.09196718183552757	1.0	0.0482	0.09196718183552757	0.0482
51	../midterm/ReplicateMcCoy/models/bert_08	lexical	non-entailment	1.0	0.4774	0.6462704751590632	1.0	0.4774	0.6462704751590632	0.4774
52	../midterm/ReplicateMcCoy/models/bert_08	subsequence	entailment	1.0	0.0072	0.014297061159650517	1.0	0.0072	0.014297061159650517	0.0072
53	../midterm/ReplicateMcCoy/models/bert_08	subsequence	non-entailment	1.0	0.9188	0.9576818845111528	1.0	0.9188	0.9576818845111528	0.9188
54	../midterm/ReplicateMcCoy/models/bert_09	constituent	entailment	1.0	0.0106	0.020977637047298634	1.0	0.0106	0.020977637047298634	0.0106
